iter	Passed	Remaining
0	140	140032
1	141	70360
2	141	47071
3	142	35403
4	142	28394
5	143	23728
6	143	20382
7	144	17874
8	144	15917
9	144	14352
10	145	13071
11	145	12003
12	146	11108
13	146	10347
14	147	9688
15	148	9102
16	148	8581
17	148	8120
18	149	7705
19	149	7334
20	150	6997
21	150	6690
22	150	6410
23	151	6153
24	151	5917
25	152	5701
26	152	5504
27	153	5320
28	153	5148
29	154	4989
30	154	4839
31	155	4696
32	155	4563
33	156	4438
34	156	4320
35	157	4209
36	157	4103
37	158	4005
38	158	3914
39	159	3824
40	159	3737
41	160	3655
42	160	3576
43	161	3502
44	161	3432
45	162	3364
46	162	3299
47	163	3237
48	163	3177
49	164	3120
50	164	3064
51	165	3009
52	165	2958
53	166	2916
54	167	2870
55	167	2824
56	168	2779
57	168	2738
58	169	2696
59	169	2654
60	169	2615
61	170	2578
62	171	2544
63	171	2509
64	172	2475
65	172	2441
66	173	2410
67	173	2378
68	174	2347
69	174	2318
70	174	2289
71	175	2261
72	175	2234
73	176	2209
74	177	2184
75	177	2160
76	178	2135
77	178	2112
78	179	2088
79	179	2066
80	180	2044
81	180	2024
82	181	2000
83	181	1981
84	182	1961
85	183	1945
86	183	1926
87	184	1907
88	184	1889
89	185	1871
90	185	1853
91	186	1836
92	186	1818
93	186	1801
94	187	1784
95	187	1768
96	188	1753
97	188	1737
98	189	1722
99	189	1707
100	190	1692
101	190	1679
102	191	1666
103	191	1652
104	192	1639
105	192	1625
106	193	1613
107	193	1600
108	194	1587
109	194	1575
110	195	1563
111	195	1552
112	196	1540
113	196	1528
114	197	1517
115	197	1506
116	198	1494
117	198	1483
118	199	1473
119	199	1463
120	200	1453
121	200	1442
122	200	1432
123	201	1423
124	202	1415
125	202	1407
126	203	1397
127	203	1387
128	204	1378
129	204	1369
130	205	1361
131	205	1351
132	206	1343
133	206	1335
134	207	1326
135	207	1318
136	208	1311
137	208	1303
138	209	1295
139	209	1287
140	210	1280
141	210	1272
142	211	1265
143	211	1257
144	211	1249
145	212	1242
146	212	1235
147	213	1227
148	213	1221
149	214	1215
150	214	1208
151	215	1202
152	215	1195
153	216	1189
154	216	1182
155	217	1176
156	218	1170
157	218	1164
158	218	1158
159	219	1152
160	219	1145
161	220	1139
162	220	1133
163	221	1127
164	221	1122
165	222	1116
166	222	1110
167	223	1104
168	223	1099
169	224	1094
170	224	1088
171	225	1083
172	225	1078
173	226	1075
174	227	1070
175	227	1065
176	228	1060
177	228	1056
178	229	1051
179	229	1046
180	230	1041
181	230	1036
182	231	1031
183	231	1026
184	232	1022
185	232	1018
186	233	1013
187	233	1009
188	234	1005
189	234	1000
190	235	996
191	235	991
192	236	987
193	236	983
194	237	978
195	237	974
196	238	970
197	238	966
198	239	962
199	239	957
200	239	953
201	240	949
202	240	945
203	241	941
204	241	937
205	242	934
206	242	930
207	243	926
208	243	923
209	244	919
210	244	915
211	245	912
212	245	908
213	246	904
214	246	901
215	247	897
216	247	894
217	248	890
218	248	887
219	249	883
220	249	880
221	250	876
222	250	873
223	251	870
224	251	867
225	252	864
226	252	860
227	253	857
228	253	854
229	254	851
230	254	848
231	255	845
232	255	842
233	256	839
234	256	836
235	257	834
236	258	831
237	258	828
238	259	825
239	259	822
240	260	819
241	260	816
242	261	813
243	261	810
244	262	807
245	262	805
246	263	802
247	263	799
248	264	797
249	264	794
250	265	791
251	265	788
252	266	786
253	266	783
254	267	780
255	267	777
256	268	775
257	268	772
258	269	770
259	269	767
260	270	765
261	270	762
262	271	760
263	271	757
264	272	755
265	272	752
266	273	750
267	273	748
268	274	745
269	274	743
270	275	740
271	275	738
272	276	736
273	277	734
274	277	731
275	278	729
276	278	727
277	279	724
278	279	722
279	280	720
280	280	717
281	281	715
282	281	713
283	282	711
284	282	709
285	283	707
286	283	704
287	284	702
288	284	700
289	285	698
290	285	696
